T10,T11,lat,lon,insitu,date
21.37557185,19.18385756,19.47900009,90.83899689,25.39999962,2014-01-17
21.37557185,19.18385756,19.47900009,90.83899689,25.39999962,2014-01-18
21.4762269,19.38168988,20.30800056,90.98999786,25.20000076,2014-01-18
21.4762269,19.38168988,20.30800056,90.98999786,25.29999924,2014-01-18
21.4762269,19.38168988,20.30800056,90.98999786,25.29999924,2014-01-18
21.4762269,19.38168988,20.30800056,90.98999786,25.29999924,2014-01-18
21.4762269,19.38168988,20.30800056,90.98999786,25.20000076,2014-01-18
21.4762269,19.38168988,20.30800056,90.98999786,25.29999924,2014-01-18
21.4762269,19.38168988,20.30800056,90.98999786,25.29999924,2014-01-18
21.4762269,19.38168988,20.30800056,90.98999786,25.29999924,2014-01-18
21.4762269,19.38168988,20.30800056,90.98999786,25.20000076,2014-01-18
21.4762269,19.38168988,20.30800056,90.98999786,25.29999924,2014-01-18
21.4762269,19.38168988,20.30800056,90.98999786,25.29999924,2014-01-18
21.4762269,19.38168988,20.30800056,90.98999786,25.29999924,2014-01-18
21.4762269,19.38168988,20.30800056,90.98999786,25.20000076,2014-01-18
21.4762269,19.38168988,20.30800056,90.98999786,25.29999924,2014-01-18
21.4762269,19.38168988,20.30800056,90.98999786,25.29999924,2014-01-18
21.4762269,19.38168988,20.30800056,90.98999786,25.29999924,2014-01-18
21.38048392,19.12852712,19.48200035,90.83699799,25.39999962,2014-01-18
21.38048392,19.12852712,19.48200035,90.83699799,25.39999962,2014-01-18
21.38048392,19.12852712,19.48200035,90.83699799,25.39999962,2014-01-18
21.38048392,19.12852712,19.48200035,90.83699799,25.39999962,2014-01-18
21.38048392,19.12852712,19.48200035,90.83699799,25.39999962,2014-01-18
21.38048392,19.12852712,19.48200035,90.83699799,25.39999962,2014-01-18
21.38048392,19.12852712,19.48200035,90.83699799,25.39999962,2014-01-18
21.38048392,19.12852712,19.48200035,90.83699799,25.39999962,2014-01-18
21.38048392,19.12852712,19.48200035,90.83699799,25.39999962,2014-01-18
21.38048392,19.12852712,19.48200035,90.83699799,25.39999962,2014-01-18
21.38048392,19.12852712,19.48200035,90.83699799,25.39999962,2014-01-18
21.38048392,19.12852712,19.48200035,90.83699799,25.39999962,2014-01-18
21.38048392,19.12852712,19.48200035,90.83699799,25.39999962,2014-01-18
21.38048392,19.12852712,19.48200035,90.83699799,25.39999962,2014-01-18
21.38048392,19.12852712,19.48200035,90.83699799,25.39999962,2014-01-18
21.38048392,19.12852712,19.48200035,90.83699799,25.39999962,2014-01-18
21.39276316,19.18676904,19.47999954,90.81800079,25.39999962,2014-01-18
21.39276316,19.18676904,19.47999954,90.81800079,25.5,2014-01-18
21.39276316,19.18676904,19.47999954,90.81800079,25.39999962,2014-01-18
21.39276316,19.18676904,19.47999954,90.81800079,25.5,2014-01-18
21.44677609,19.311901,20.31599998,91.01799774,25.29999924,2014-01-18
21.44677609,19.311901,20.31599998,91.01799774,25.39999962,2014-01-18
21.44677609,19.311901,20.31599998,91.01799774,25.29999924,2014-01-18
21.44677609,19.311901,20.31599998,91.01799774,25.39999962,2014-01-18
21.35837794,19.12270149,20.31299973,91.03900146,25.5,2014-01-18
21.35837794,19.12270149,20.31299973,91.03900146,25.5,2014-01-18
21.35837794,19.12270149,20.31299973,91.03900146,25.5,2014-01-18
21.35837794,19.12270149,20.31299973,91.03900146,25.5,2014-01-18
21.59395407,19.34098424,19.47400093,90.77300262,25.60000038,2014-01-18
21.41486246,19.21588022,19.46999931,90.75499725,25.79999924,2014-01-18
21.33872458,19.13726507,20.29500008,91.04699707,25.70000076,2014-01-18
21.33872458,19.13726507,20.29500008,91.04699707,25.79999924,2014-01-18
21.33872458,19.13726507,20.29500008,91.04699707,25.70000076,2014-01-18
21.33872458,19.13726507,20.29500008,91.04699707,25.79999924,2014-01-18
21.46641081,19.32062666,19.47100067,90.75700378,25.79999924,2014-01-18
21.38293987,19.15473921,19.46999931,90.75,25.79999924,2014-01-18
21.33872458,19.11978858,20.28199959,91.05599976,25.70000076,2014-01-18
21.42468299,19.09939638,19.47200012,90.75099945,25.60000038,2014-01-18
21.14938712,18.93906053,20.28100014,91.06300354,25.29999924,2014-01-18
21.43695747,19.09065588,19.47200012,90.75,25.39999962,2014-01-18
21.43695747,19.09065588,19.47200012,90.75,25.39999962,2014-01-18
21.43695747,19.09065588,19.47200012,90.75,25.5,2014-01-18
21.43695747,19.09065588,19.47200012,90.75,25.39999962,2014-01-18
21.43695747,19.09065588,19.47200012,90.75,25.39999962,2014-01-18
21.43695747,19.09065588,19.47200012,90.75,25.5,2014-01-18
21.43695747,19.09065588,19.47200012,90.75,25.39999962,2014-01-18
21.43695747,19.09065588,19.47200012,90.75,25.39999962,2014-01-18
21.43695747,19.09065588,19.47200012,90.75,25.5,2014-01-18
21.13708156,18.94489439,20.27400017,91.05999756,25.10000038,2014-01-18
21.13708156,18.94489439,20.27400017,91.05999756,25.29999924,2014-01-18
21.13708156,18.94489439,20.27400017,91.05999756,25.10000038,2014-01-18
21.13708156,18.94489439,20.27400017,91.05999756,25.29999924,2014-01-18
21.2477836,18.88362577,20.27899933,91.06300354,25.10000038,2014-01-18
21.38785162,19.19841429,19.4640007,90.74099731,25.29999924,2014-01-18
21.38785162,19.19841429,19.4640007,90.74099731,25.39999962,2014-01-18
21.38785162,19.19841429,19.4640007,90.74099731,25.39999962,2014-01-18
21.38785162,19.19841429,19.4640007,90.74099731,25.29999924,2014-01-18
21.38785162,19.19841429,19.4640007,90.74099731,25.39999962,2014-01-18
21.38785162,19.19841429,19.4640007,90.74099731,25.39999962,2014-01-18
21.38785162,19.19841429,19.4640007,90.74099731,25.29999924,2014-01-18
21.38785162,19.19841429,19.4640007,90.74099731,25.39999962,2014-01-18
21.38785162,19.19841429,19.4640007,90.74099731,25.39999962,2014-01-18
21.16415202,18.90405186,20.28100014,91.06400299,25.10000038,2014-01-18
21.16415202,18.90405186,20.28100014,91.06400299,25.20000076,2014-01-18
21.16415202,18.90405186,20.28100014,91.06400299,25.20000076,2014-01-18
21.16415202,18.90405186,20.28100014,91.06400299,25.10000038,2014-01-18
21.16415202,18.90405186,20.28100014,91.06400299,25.20000076,2014-01-18
21.16415202,18.90405186,20.28100014,91.06400299,25.20000076,2014-01-18
21.16415202,18.90405186,20.28100014,91.06400299,25.10000038,2014-01-18
21.16415202,18.90405186,20.28100014,91.06400299,25.20000076,2014-01-18
21.16415202,18.90405186,20.28100014,91.06400299,25.20000076,2014-01-18
21.5154828,19.14017759,19.45700073,90.69499969,25.20000076,2014-01-18
21.5154828,19.14017759,19.45700073,90.69499969,25.29999924,2014-01-18
21.5154828,19.14017759,19.45700073,90.69499969,25.29999924,2014-01-18
21.5154828,19.14017759,19.45700073,90.69499969,25.20000076,2014-01-18
21.5154828,19.14017759,19.45700073,90.69499969,25.29999924,2014-01-18
21.5154828,19.14017759,19.45700073,90.69499969,25.29999924,2014-01-18
21.5154828,19.14017759,19.45700073,90.69499969,25.20000076,2014-01-18
21.5154828,19.14017759,19.45700073,90.69499969,25.29999924,2014-01-18
21.5154828,19.14017759,19.45700073,90.69499969,25.29999924,2014-01-18
21.07307118,18.75808064,20.25900078,91.08200073,24.89999962,2014-01-18
21.07307118,18.75808064,20.25900078,91.08200073,25,2014-01-18
21.07307118,18.75808064,20.25900078,91.08200073,25.20000076,2014-01-18
21.07307118,18.75808064,20.25900078,91.08200073,25.29999924,2014-01-18
21.07307118,18.75808064,20.25900078,91.08200073,24.89999962,2014-01-18
21.07307118,18.75808064,20.25900078,91.08200073,25,2014-01-18
21.07307118,18.75808064,20.25900078,91.08200073,25.20000076,2014-01-18
21.07307118,18.75808064,20.25900078,91.08200073,25.29999924,2014-01-18
21.07307118,18.75808064,20.25900078,91.08200073,24.89999962,2014-01-18
21.07307118,18.75808064,20.25900078,91.08200073,25,2014-01-18
21.07307118,18.75808064,20.25900078,91.08200073,25.20000076,2014-01-18
21.07307118,18.75808064,20.25900078,91.08200073,25.29999924,2014-01-18
21.07307118,18.75808064,20.25900078,91.08200073,24.89999962,2014-01-18
21.07307118,18.75808064,20.25900078,91.08200073,25,2014-01-18
21.07307118,18.75808064,20.25900078,91.08200073,25.20000076,2014-01-18
21.07307118,18.75808064,20.25900078,91.08200073,25.29999924,2014-01-18
21.47868079,19.26244459,19.45800018,90.6780014,25.20000076,2014-01-18
21.47868079,19.26244459,19.45800018,90.6780014,25.29999924,2014-01-18
21.47868079,19.26244459,19.45800018,90.6780014,25.20000076,2014-01-18
21.47868079,19.26244459,19.45800018,90.6780014,25.29999924,2014-01-18
20.93754552,18.65580294,20.24200058,91.07900238,24.79999924,2014-01-18
21.54001088,19.19841429,19.4640007,90.66100311,25.20000076,2014-01-18
20.9967039,18.60317153,20.22999954,91.0759964,24.89999962,2014-01-18
22.51197904,21.35235536,20.14699936,91.27700043,23.89999962,2014-03-02
22.51197904,21.35235536,20.14699936,91.27700043,23.89999962,2014-03-02
22.51197904,21.35235536,20.14699936,91.27700043,23.89999962,2014-03-02
22.51197904,21.35235536,20.14699936,91.27700043,23.89999962,2014-03-02
22.36841278,21.21768524,20.16200066,91.29000092,23.89999962,2014-03-02
22.35867298,21.20908463,20.16200066,91.29100037,23.89999962,2014-03-02
22.25391786,21.11731003,20.1609993,91.30000305,23.89999962,2014-03-02
22.42683426,21.22341867,20.14100075,91.29599762,23.89999962,2014-03-02
22.42683426,21.22341867,20.14100075,91.29599762,24,2014-03-02
22.42683426,21.22341867,20.14100075,91.29599762,24,2014-03-02
22.42683426,21.22341867,20.14100075,91.29599762,24,2014-03-02
22.42683426,21.22341867,20.14100075,91.29599762,24,2014-03-02
22.42683426,21.22341867,20.14100075,91.29599762,23.89999962,2014-03-02
22.42683426,21.22341867,20.14100075,91.29599762,24,2014-03-02
22.42683426,21.22341867,20.14100075,91.29599762,24,2014-03-02
22.42683426,21.22341867,20.14100075,91.29599762,24,2014-03-02
22.42683426,21.22341867,20.14100075,91.29599762,24,2014-03-02
22.42683426,21.22341867,20.14100075,91.29599762,23.89999962,2014-03-02
22.42683426,21.22341867,20.14100075,91.29599762,24,2014-03-02
22.42683426,21.22341867,20.14100075,91.29599762,24,2014-03-02
22.42683426,21.22341867,20.14100075,91.29599762,24,2014-03-02
22.42683426,21.22341867,20.14100075,91.29599762,24,2014-03-02
22.42683426,21.22341867,20.14100075,91.29599762,23.89999962,2014-03-02
22.42683426,21.22341867,20.14100075,91.29599762,24,2014-03-02
22.42683426,21.22341867,20.14100075,91.29599762,24,2014-03-02
22.42683426,21.22341867,20.14100075,91.29599762,24,2014-03-02
22.42683426,21.22341867,20.14100075,91.29599762,24,2014-03-02
22.42683426,21.22341867,20.14100075,91.29599762,23.89999962,2014-03-02
22.42683426,21.22341867,20.14100075,91.29599762,24,2014-03-02
22.42683426,21.22341867,20.14100075,91.29599762,24,2014-03-02
22.42683426,21.22341867,20.14100075,91.29599762,24,2014-03-02
22.42683426,21.22341867,20.14100075,91.29599762,24,2014-03-02
22.40492969,21.24634991,20.1079998,91.29299927,24,2014-03-02
22.40492969,21.24634991,20.1079998,91.29299927,24,2014-03-02
22.40492969,21.24634991,20.1079998,91.29299927,24,2014-03-02
22.40492969,21.24634991,20.1079998,91.29299927,24,2014-03-02
22.40492969,21.24634991,20.1079998,91.29299927,24,2014-03-02
22.40492969,21.24634991,20.1079998,91.29299927,24,2014-03-02
22.40492969,21.24634991,20.1079998,91.29299927,24,2014-03-02
22.40492969,21.24634991,20.1079998,91.29299927,24,2014-03-02
22.40492969,21.24634991,20.1079998,91.29299927,24,2014-03-02
22.45603386,21.22341867,20.11800003,91.28399658,23.89999962,2014-03-02
22.45603386,21.22341867,20.11800003,91.28399658,23.89999962,2014-03-02
22.45603386,21.22341867,20.11800003,91.28399658,23.89999962,2014-03-02
22.45603386,21.22341867,20.11800003,91.28399658,23.89999962,2014-03-02
22.45603386,21.22341867,20.11800003,91.28399658,23.89999962,2014-03-02
22.45603386,21.22341867,20.11800003,91.28399658,23.89999962,2014-03-02
22.45603386,21.22341867,20.11800003,91.28399658,23.89999962,2014-03-02
22.45603386,21.22341867,20.11800003,91.28399658,23.89999962,2014-03-02
22.45603386,21.22341867,20.11800003,91.28399658,23.89999962,2014-03-02
22.45603386,21.22341867,20.11800003,91.28399658,23.89999962,2014-03-02
22.45603386,21.22341867,20.11800003,91.28399658,23.89999962,2014-03-02
22.45603386,21.22341867,20.11800003,91.28399658,23.89999962,2014-03-02
22.45603386,21.22341867,20.11800003,91.28399658,23.89999962,2014-03-02
22.45603386,21.22341867,20.11800003,91.28399658,23.89999962,2014-03-02
22.45603386,21.22341867,20.11800003,91.28399658,23.89999962,2014-03-02
22.45603386,21.22341867,20.11800003,91.28399658,23.89999962,2014-03-02
22.29778048,21.08000844,20.11499977,91.33000183,23.79999924,2014-03-02
22.29778048,21.08000844,20.11499977,91.33000183,23.79999924,2014-03-02
22.29778048,21.08000844,20.11499977,91.33000183,23.79999924,2014-03-02
22.29778048,21.08000844,20.11499977,91.33000183,23.79999924,2014-03-02
22.29778048,21.08000844,20.11499977,91.33000183,23.79999924,2014-03-02
22.29778048,21.08000844,20.11499977,91.33000183,23.79999924,2014-03-02
22.29778048,21.08000844,20.11499977,91.33000183,23.79999924,2014-03-02
22.29778048,21.08000844,20.11499977,91.33000183,23.79999924,2014-03-02
22.29778048,21.08000844,20.11499977,91.33000183,23.79999924,2014-03-02
22.29778048,21.08000844,20.11499977,91.33000183,23.79999924,2014-03-02
22.29778048,21.08000844,20.11499977,91.33000183,23.79999924,2014-03-02
22.29778048,21.08000844,20.11499977,91.33000183,23.79999924,2014-03-02
22.29778048,21.08000844,20.11499977,91.33000183,23.79999924,2014-03-02
22.29778048,21.08000844,20.11499977,91.33000183,23.79999924,2014-03-02
22.29778048,21.08000844,20.11499977,91.33000183,23.79999924,2014-03-02
22.29778048,21.08000844,20.11499977,91.33000183,23.79999924,2014-03-02
22.35136759,21.16894106,20.11599922,91.30699921,23.79999924,2014-03-02
22.35136759,21.16894106,20.11599922,91.30699921,23.79999924,2014-03-02
22.35136759,21.16894106,20.11599922,91.30699921,23.79999924,2014-03-02
22.35136759,21.16894106,20.11599922,91.30699921,23.79999924,2014-03-02
20.76235429,18.48906333,19.48900032,91.75499725,25.5,2014-12-02
20.68577726,18.60609605,19.49200058,91.75900269,25.5,2014-12-02
20.75247629,18.55051871,19.4829998,91.76599884,25.39999962,2014-12-02
20.85861962,18.48028161,19.46999931,91.78199768,25.29999924,2014-12-02
20.85861962,18.48028161,19.46999931,91.78199768,25.29999924,2014-12-02
20.85861962,18.48028161,19.46999931,91.78199768,25.39999962,2014-12-02
20.85861962,18.48028161,19.46999931,91.78199768,25.29999924,2014-12-02
20.85861962,18.48028161,19.46999931,91.78199768,25.29999924,2014-12-02
20.85861962,18.48028161,19.46999931,91.78199768,25.39999962,2014-12-02
20.85861962,18.48028161,19.46999931,91.78199768,25.29999924,2014-12-02
20.85861962,18.48028161,19.46999931,91.78199768,25.29999924,2014-12-02
20.85861962,18.48028161,19.46999931,91.78199768,25.39999962,2014-12-02
20.77716967,18.63241384,19.46299934,91.78099823,25.20000076,2014-12-02
20.77716967,18.63241384,19.46299934,91.78099823,25.20000076,2014-12-02
20.77716967,18.63241384,19.46299934,91.78099823,25.20000076,2014-12-02
20.77716967,18.63241384,19.46299934,91.78099823,25.29999924,2014-12-02
20.77716967,18.63241384,19.46299934,91.78099823,25.29999924,2014-12-02
20.77716967,18.63241384,19.46299934,91.78099823,25.20000076,2014-12-02
20.77716967,18.63241384,19.46299934,91.78099823,25.20000076,2014-12-02
20.77716967,18.63241384,19.46299934,91.78099823,25.20000076,2014-12-02
20.77716967,18.63241384,19.46299934,91.78099823,25.29999924,2014-12-02
20.77716967,18.63241384,19.46299934,91.78099823,25.29999924,2014-12-02
20.77716967,18.63241384,19.46299934,91.78099823,25.20000076,2014-12-02
20.77716967,18.63241384,19.46299934,91.78099823,25.20000076,2014-12-02
20.77716967,18.63241384,19.46299934,91.78099823,25.20000076,2014-12-02
20.77716967,18.63241384,19.46299934,91.78099823,25.29999924,2014-12-02
20.77716967,18.63241384,19.46299934,91.78099823,25.29999924,2014-12-02
20.77716967,18.63241384,19.46299934,91.78099823,25.20000076,2014-12-02
20.77716967,18.63241384,19.46299934,91.78099823,25.20000076,2014-12-02
20.77716967,18.63241384,19.46299934,91.78099823,25.20000076,2014-12-02
20.77716967,18.63241384,19.46299934,91.78099823,25.29999924,2014-12-02
20.77716967,18.63241384,19.46299934,91.78099823,25.29999924,2014-12-02
20.77716967,18.63241384,19.46299934,91.78099823,25.20000076,2014-12-02
20.77716967,18.63241384,19.46299934,91.78099823,25.20000076,2014-12-02
20.77716967,18.63241384,19.46299934,91.78099823,25.20000076,2014-12-02
20.77716967,18.63241384,19.46299934,91.78099823,25.29999924,2014-12-02
20.77716967,18.63241384,19.46299934,91.78099823,25.29999924,2014-12-02
21.00902468,18.35434466,19.73699951,90.36399841,26.10000038,2014-07-03
21.00902468,18.35434466,19.73699951,90.36399841,26.20000076,2014-07-03
21.00902468,18.35434466,19.73699951,90.36399841,26.10000038,2014-07-03
21.00902468,18.35434466,19.73699951,90.36399841,26.20000076,2014-07-03
21.40995187,18.77560586,19.76600075,90.36299896,26.10000038,2014-07-03
21.40995187,18.77560586,19.76600075,90.36299896,26.20000076,2014-07-03
21.40995187,18.77560586,19.76600075,90.36299896,26.10000038,2014-07-03
21.40995187,18.77560586,19.76600075,90.36299896,26.20000076,2014-07-03
21.56453367,18.79604896,19.77099991,90.35500336,26.20000076,2014-07-03
21.20105589,18.79896914,19.77000046,90.3690033,26.20000076,2014-07-03
21.45413951,18.88946212,19.76600075,90.3690033,26.29999924,2014-07-03
21.45413951,18.88946212,19.76600075,90.3690033,26.29999924,2014-07-03
21.45413951,18.88946212,19.76600075,90.3690033,26.29999924,2014-07-03
21.45413951,18.88946212,19.76600075,90.3690033,26.29999924,2014-07-03
21.45413951,18.88946212,19.76600075,90.3690033,26.29999924,2014-07-03
21.45413951,18.88946212,19.76600075,90.3690033,26.29999924,2014-07-03
21.45413951,18.88946212,19.76600075,90.3690033,26.29999924,2014-07-03
21.45413951,18.88946212,19.76600075,90.3690033,26.29999924,2014-07-03
21.45413951,18.88946212,19.76600075,90.3690033,26.29999924,2014-07-03
21.37311574,18.72594492,19.76600075,90.36000061,26.29999924,2014-07-03
21.42959294,18.81940856,19.76499939,90.35700226,26.20000076,2014-07-03
21.41977283,18.8048093,19.77000046,90.34200287,26.20000076,2014-07-03
21.37557185,18.72886668,19.77899933,90.32800293,26.10000038,2014-07-03
21.37557185,18.72886668,19.77899933,90.32800293,26.10000038,2014-07-03
21.37557185,18.72886668,19.77899933,90.32800293,26.10000038,2014-07-03
21.37557185,18.72886668,19.77899933,90.32800293,26.10000038,2014-07-03
21.49585654,18.83692549,19.77400017,90.33200073,26.10000038,2014-07-03
21.36329075,18.70256848,19.77799988,90.31900024,26.10000038,2014-07-03
21.36574708,18.69964613,19.77799988,90.31999969,26,2014-07-03
21.36574708,18.69964613,19.77799988,90.31999969,26.10000038,2014-07-03
21.36574708,18.69964613,19.77799988,90.31999969,26,2014-07-03
21.36574708,18.69964613,19.77799988,90.31999969,26.10000038,2014-07-03
20.95480323,18.45100489,19.78899956,90.27899933,26,2014-07-03
21.22565182,18.57099735,19.8010006,90.26699829,26,2014-07-03
21.30923818,18.75808064,19.82099915,90.25099945,26.10000038,2014-07-03
24.69209379,22.88994426,18.00300026,84.65499878,27.70000076,2014-04-04
24.69209379,22.88994426,18.00300026,84.65499878,27.79999924,2014-04-04
24.69209379,22.88994426,18.00300026,84.65499878,27.79999924,2014-04-04
24.69209379,22.88994426,18.00300026,84.65499878,27.79999924,2014-04-04
24.69209379,22.88994426,18.00300026,84.65499878,27.79999924,2014-04-04
24.69448032,22.88994426,18.00300026,84.65499878,27.70000076,2014-04-04
24.69448032,22.88994426,18.00300026,84.65499878,27.79999924,2014-04-04
24.69448032,22.88994426,18.00300026,84.65499878,27.79999924,2014-04-04
24.69448032,22.88994426,18.00300026,84.65499878,27.79999924,2014-04-04
24.69448032,22.88994426,18.00300026,84.65499878,27.79999924,2014-04-04
24.69209379,22.88994426,18.00300026,84.65499878,27.70000076,2014-04-04
24.69209379,22.88994426,18.00300026,84.65499878,27.79999924,2014-04-04
24.69209379,22.88994426,18.00300026,84.65499878,27.79999924,2014-04-04
24.69209379,22.88994426,18.00300026,84.65499878,27.79999924,2014-04-04
24.69209379,22.88994426,18.00300026,84.65499878,27.79999924,2014-04-04
24.69448032,22.88994426,18.00300026,84.65499878,27.70000076,2014-04-04
24.69448032,22.88994426,18.00300026,84.65499878,27.79999924,2014-04-04
24.69448032,22.88994426,18.00300026,84.65499878,27.79999924,2014-04-04
24.69448032,22.88994426,18.00300026,84.65499878,27.79999924,2014-04-04
24.69448032,22.88994426,18.00300026,84.65499878,27.79999924,2014-04-04
24.69209379,22.88994426,18.00300026,84.65499878,27.70000076,2014-04-04
24.69209379,22.88994426,18.00300026,84.65499878,27.79999924,2014-04-04
